period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose,amount_trades,performance
15m,500,2.0,1.0,0.1,0.005,3,40,avgHL,wa,0.0682259668088844,0,2,0,2,2.3489263347555105
15m,500,2.0,1.0,0.1,0.005,3,30,avgHL,wa,0.0682259668088843,0,2,0,2,2.3489263347555096
15m,500,2.0,1.0,0.1,0.005,5,30,low,wa,0.0251277730974447,2,1,0,3,2.251277730974447
15m,500,2.0,1.0,0.1,0.005,6,30,low,poc,0.0251277730974447,2,1,0,3,2.251277730974447
15m,500,2.0,1.0,0.1,0.005,4,40,low,wa,0.0251277730974446,2,1,0,3,2.2512777309744463
15m,500,2.0,1.0,0.1,0.005,6,40,low,wa,0.0251277730974446,2,1,0,3,2.2512777309744463
15m,500,2.0,1.0,0.1,0.005,5,40,low,poc,0.0251277730974446,2,1,0,3,2.2512777309744463
15m,500,2.0,1.0,0.1,0.005,4,40,low,poc,0.0251277730974446,2,1,0,3,2.2512777309744463
15m,500,2.0,1.0,0.1,0.005,6,30,low,wa,0.0251277730974446,2,1,0,3,2.2512777309744463
15m,500,2.0,1.0,0.1,0.005,4,30,low,poc,0.0251277730974446,2,1,0,3,2.2512777309744463
15m,500,2.0,1.0,0.1,0.005,4,30,low,wa,0.0251277730974445,2,1,0,3,2.251277730974445
15m,500,2.0,1.0,0.1,0.005,6,40,low,poc,0.0251277730974445,2,1,0,3,2.251277730974445
15m,500,2.0,1.0,0.1,0.005,5,40,low,wa,0.0251277730974445,2,1,0,3,2.251277730974445
15m,500,1.0,1.0,0.1,0.005,6,40,low,wa,0.0125638865487224,2,1,0,3,2.125638865487224
15m,500,1.0,1.0,0.1,0.005,6,40,low,poc,0.0125638865487223,2,1,0,3,2.1256388654872227
15m,500,1.0,1.0,0.1,0.005,4,40,low,poc,0.0125638865487223,2,1,0,3,2.1256388654872227
15m,500,1.0,1.0,0.1,0.005,4,30,low,wa,0.0125638865487223,2,1,0,3,2.1256388654872227
15m,500,1.0,1.0,0.1,0.005,4,30,low,poc,0.0125638865487223,2,1,0,3,2.1256388654872227
15m,500,1.0,1.0,0.1,0.005,6,30,low,wa,0.0125638865487223,2,1,0,3,2.1256388654872227
15m,500,1.0,1.0,0.1,0.005,4,40,low,wa,0.0125638865487222,2,1,0,3,2.125638865487222
15m,500,1.0,1.0,0.1,0.005,5,30,low,wa,0.0125638865487222,2,1,0,3,2.125638865487222
15m,500,1.0,1.0,0.1,0.005,5,40,low,wa,0.0125638865487222,2,1,0,3,2.125638865487222
15m,500,1.0,1.0,0.1,0.005,5,40,low,poc,0.0125638865487222,2,1,0,3,2.125638865487222
15m,500,1.0,1.0,0.1,0.005,6,30,low,poc,0.0125638865487222,2,1,0,3,2.125638865487222
5m,500,2.0,1.0,0.1,0.005,4,40,high,poc,0.0398815114492311,0,2,0,2,2.0654817811589776
5m,500,2.0,0.5,0.1,0.005,4,40,high,poc,0.0398815114492311,0,2,0,2,2.0654817811589776
5m,500,2.0,1.0,0.1,0.005,4,30,high,poc,0.039881511449231,0,2,0,2,2.0654817811589767
5m,500,2.0,1.0,0.1,0.005,3,30,high,poc,0.039881511449231,0,2,0,2,2.0654817811589767
5m,500,2.0,0.5,0.1,0.005,3,30,high,poc,0.039881511449231,0,2,0,2,2.0654817811589767
5m,500,2.0,0.5,0.1,0.005,4,30,high,poc,0.039881511449231,0,2,0,2,2.0654817811589767
5m,500,2.0,0.5,0.1,0.005,3,40,high,poc,0.0398815114492309,0,2,0,2,2.065481781158976
5m,500,2.0,1.0,0.1,0.005,3,40,high,poc,0.0398815114492309,0,2,0,2,2.065481781158976
15m,500,0.5,1.0,0.1,0.005,4,40,low,wa,0.0062819432743611,2,1,0,3,2.062819432743611
15m,500,0.5,1.0,0.1,0.005,6,40,low,wa,0.0062819432743611,2,1,0,3,2.062819432743611
15m,500,0.5,1.0,0.1,0.005,6,30,low,poc,0.0062819432743611,2,1,0,3,2.062819432743611
15m,500,0.5,1.0,0.1,0.005,5,40,low,wa,0.0062819432743611,2,1,0,3,2.062819432743611
15m,500,0.5,1.0,0.1,0.005,5,40,low,poc,0.0062819432743611,2,1,0,3,2.062819432743611
15m,500,0.5,1.0,0.1,0.005,4,30,low,wa,0.006281943274361,2,1,0,3,2.06281943274361
15m,500,0.5,1.0,0.1,0.005,6,40,low,poc,0.006281943274361,2,1,0,3,2.06281943274361
15m,500,0.5,1.0,0.1,0.005,4,30,low,poc,0.006281943274361,2,1,0,3,2.06281943274361
15m,500,0.5,1.0,0.1,0.005,5,30,low,poc,0.006281943274361,2,1,0,3,2.06281943274361
15m,500,0.5,1.0,0.1,0.005,6,30,low,wa,0.006281943274361,2,1,0,3,2.06281943274361
15m,500,0.5,1.0,0.1,0.005,5,30,low,wa,0.006281943274361,2,1,0,3,2.06281943274361
15m,500,0.5,1.0,0.1,0.005,4,40,low,poc,0.0062819432743609,2,1,0,3,2.062819432743609
15m,500,1.0,1.0,0.1,0.005,3,30,avgHL,wa,0.0341129834044423,0,2,0,2,2.0077965007110894
15m,500,1.0,1.0,0.1,0.005,3,40,avgHL,wa,0.0341129834044421,0,2,0,2,2.0077965007110876
15m,500,2.0,1.0,0.1,0.005,5,30,avgHL,wa,0.0251277730974447,1,1,0,2,1.9179443976411137
15m,500,2.0,1.0,0.1,0.005,5,40,avgHL,poc,0.0251277730974447,1,1,0,2,1.9179443976411137
15m,500,2.0,1.0,0.1,0.005,5,30,avgHL,poc,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,5,40,avgHL,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,3,40,low,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,3,30,low,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.01,4,40,avgHL,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,6,40,avgHL,poc,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,3,40,low,poc,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,4,40,avgHL,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.01,4,30,low,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,6,30,avgHL,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,6,30,avgHL,poc,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,6,40,avgHL,wa,0.0251277730974446,1,1,0,2,1.9179443976411126
15m,500,2.0,1.0,0.1,0.005,4,30,avgHL,wa,0.0251277730974445,1,1,0,2,1.9179443976411117
15m,500,2.0,1.0,0.1,0.01,4,40,low,wa,0.0251277730974445,1,1,0,2,1.9179443976411117
15m,500,2.0,1.0,0.1,0.01,4,30,avgHL,wa,0.0251277730974445,1,1,0,2,1.9179443976411117
15m,500,2.0,1.0,0.1,0.005,6,40,high,poc,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,6,30,high,wa,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,6,30,high,poc,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,5,40,high,wa,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,5,40,high,poc,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,4,40,high,poc,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,5,30,high,wa,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,3,40,high,wa,0.0244520950541607,1,1,0,2,1.9111876172082736
15m,500,2.0,1.0,0.1,0.005,3,30,high,wa,0.0244520950541606,1,1,0,2,1.9111876172082727
15m,500,2.0,1.0,0.1,0.005,3,30,high,poc,0.0244520950541606,1,1,0,2,1.9111876172082727
15m,500,2.0,1.0,0.1,0.005,6,40,high,wa,0.0244520950541606,1,1,0,2,1.9111876172082727
15m,500,2.0,1.0,0.1,0.005,4,30,high,wa,0.0244520950541606,1,1,0,2,1.9111876172082727
15m,500,2.0,1.0,0.1,0.005,4,40,high,wa,0.0244520950541606,1,1,0,2,1.9111876172082727
5m,500,1.0,1.0,0.1,0.005,3,30,high,poc,0.0199407557246154,0,2,0,2,1.8660742239128205
5m,500,1.0,0.5,0.1,0.005,3,30,high,poc,0.0199407557246154,0,2,0,2,1.8660742239128205
5m,500,1.0,1.0,0.1,0.005,4,30,high,poc,0.0199407557246154,0,2,0,2,1.8660742239128205
5m,500,1.0,0.5,0.1,0.005,4,30,high,poc,0.0199407557246154,0,2,0,2,1.8660742239128205
