period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose
15m,500,2.0,1.0,0.1,0.005,2,40,high,poc,0.08356432819191048,1,2,0
15m,500,2.0,1.0,0.1,0.005,2,40,high,wa,0.044236371202663195,2,1,0
15m,500,2.0,1.0,0.1,0.005,2,30,high,poc,0.1193120030027629,0,3,0
15m,500,2.0,1.0,0.1,0.005,2,30,high,wa,0.044236371202663285,2,1,0
15m,500,2.0,0.5,0.1,0.005,2,40,high,poc,0.03440438195535135,1,1,1
15m,500,2.0,0.5,0.1,0.005,2,40,high,wa,0.044236371202663195,2,1,0
15m,500,2.0,0.5,0.1,0.005,2,30,high,poc,0.07015205676620379,0,2,1
15m,500,2.0,0.5,0.1,0.005,2,30,high,wa,0.044236371202663285,2,1,0
15m,500,2.0,0.25,0.1,0.005,2,40,high,poc,0.039320376579007346,1,1,1
15m,500,2.0,0.25,0.1,0.005,2,40,high,wa,0.044236371202663195,2,1,0
15m,500,2.0,0.25,0.1,0.005,2,30,high,poc,0.0750680513898598,0,2,1
15m,500,2.0,0.25,0.1,0.005,2,30,high,wa,0.044236371202663285,2,1,0
15m,500,1.0,1.0,0.1,0.005,2,40,high,poc,0.041782164095955525,1,2,0
15m,500,1.0,1.0,0.1,0.005,2,40,high,wa,0.02211818560133178,2,1,0
15m,500,1.0,1.0,0.1,0.005,2,30,high,poc,0.05965600150138185,0,3,0
15m,500,1.0,1.0,0.1,0.005,2,30,high,wa,0.022118185601331643,2,1,0
15m,500,1.0,0.5,0.1,0.005,2,40,high,poc,0.012286196354019951,1,1,1
15m,500,1.0,0.5,0.1,0.005,2,40,high,wa,0.02211818560133178,2,1,0
15m,500,1.0,0.5,0.1,0.005,2,30,high,poc,0.030160033759446283,0,2,1
15m,500,1.0,0.5,0.1,0.005,2,30,high,wa,0.022118185601331643,2,1,0
15m,500,1.0,0.25,0.1,0.005,2,40,high,poc,0.017202190977675953,1,1,1
15m,500,1.0,0.25,0.1,0.005,2,40,high,wa,0.02211818560133178,2,1,0
15m,500,1.0,0.25,0.1,0.005,2,30,high,poc,0.03507602838310228,0,2,1
15m,500,1.0,0.25,0.1,0.005,2,30,high,wa,0.022118185601331643,2,1,0
15m,500,0.5,1.0,0.1,0.005,2,40,high,poc,0.020891082047977568,1,2,0
15m,500,0.5,1.0,0.1,0.005,2,40,high,wa,-0.022118185601331598,2,0,1
15m,500,0.5,1.0,0.1,0.005,2,30,high,poc,0.029828000750690538,0,3,0
15m,500,0.5,1.0,0.1,0.005,2,30,high,wa,-0.022118185601331643,2,0,1
15m,500,0.5,0.5,0.1,0.005,2,40,high,poc,0.020891082047977568,1,2,0
15m,500,0.5,0.5,0.1,0.005,2,40,high,wa,-0.01105909280066589,2,0,1
15m,500,0.5,0.5,0.1,0.005,2,30,high,poc,0.029828000750690538,0,3,0
15m,500,0.5,0.5,0.1,0.005,2,30,high,wa,-0.011059092800665912,2,0,1
15m,500,0.5,0.25,0.1,0.005,2,40,high,poc,0.006143098177009999,1,1,1
15m,500,0.5,0.25,0.1,0.005,2,40,high,wa,-0.005529546400332945,2,0,1
15m,500,0.5,0.25,0.1,0.005,2,30,high,poc,0.015080016879722973,0,2,1
15m,500,0.5,0.25,0.1,0.005,2,30,high,wa,-0.005529546400332956,2,0,1
15m,500,2.0,1.0,0.1,0.01,2,40,high,poc,0.08356432819191048,0,2,0
15m,500,2.0,1.0,0.1,0.01,2,40,high,wa,0.044236371202663195,1,1,0
15m,500,2.0,1.0,0.1,0.01,2,30,high,poc,0.08356432819191051,0,2,0
15m,500,2.0,1.0,0.1,0.01,2,30,high,wa,0.044236371202663285,1,1,0
15m,500,2.0,0.5,0.1,0.01,2,40,high,poc,0.03440438195535135,0,1,1
15m,500,2.0,0.5,0.1,0.01,2,40,high,wa,0.044236371202663195,1,1,0
15m,500,2.0,0.5,0.1,0.01,2,30,high,poc,0.03440438195535139,0,1,1
15m,500,2.0,0.5,0.1,0.01,2,30,high,wa,0.044236371202663285,1,1,0
15m,500,2.0,0.25,0.1,0.01,2,40,high,poc,0.039320376579007346,0,1,1
15m,500,2.0,0.25,0.1,0.01,2,40,high,wa,0.044236371202663195,1,1,0
15m,500,2.0,0.25,0.1,0.01,2,30,high,poc,0.039320376579007395,0,1,1
15m,500,2.0,0.25,0.1,0.01,2,30,high,wa,0.044236371202663285,1,1,0
15m,500,1.0,1.0,0.1,0.01,2,40,high,poc,0.041782164095955525,0,2,0
15m,500,1.0,1.0,0.1,0.01,2,40,high,wa,0.02211818560133178,1,1,0
15m,500,1.0,1.0,0.1,0.01,2,30,high,poc,0.041782164095955546,0,2,0
15m,500,1.0,1.0,0.1,0.01,2,30,high,wa,0.022118185601331643,1,1,0
15m,500,1.0,0.5,0.1,0.01,2,40,high,poc,0.012286196354019951,0,1,1
15m,500,1.0,0.5,0.1,0.01,2,40,high,wa,0.02211818560133178,1,1,0
15m,500,1.0,0.5,0.1,0.01,2,30,high,poc,0.01228619635401998,0,1,1
15m,500,1.0,0.5,0.1,0.01,2,30,high,wa,0.022118185601331643,1,1,0
15m,500,1.0,0.25,0.1,0.01,2,40,high,poc,0.017202190977675953,0,1,1
15m,500,1.0,0.25,0.1,0.01,2,40,high,wa,0.02211818560133178,1,1,0
15m,500,1.0,0.25,0.1,0.01,2,30,high,poc,0.017202190977675978,0,1,1
15m,500,1.0,0.25,0.1,0.01,2,30,high,wa,0.022118185601331643,1,1,0
15m,500,0.5,1.0,0.1,0.01,2,40,high,poc,0.020891082047977568,0,2,0
15m,500,0.5,1.0,0.1,0.01,2,40,high,wa,-0.022118185601331598,1,0,1
15m,500,0.5,1.0,0.1,0.01,2,30,high,poc,0.02089108204797749,0,2,0
15m,500,0.5,1.0,0.1,0.01,2,30,high,wa,-0.022118185601331643,1,0,1
15m,500,0.5,0.5,0.1,0.01,2,40,high,poc,0.020891082047977568,0,2,0
15m,500,0.5,0.5,0.1,0.01,2,40,high,wa,-0.01105909280066589,1,0,1
15m,500,0.5,0.5,0.1,0.01,2,30,high,poc,0.02089108204797749,0,2,0
15m,500,0.5,0.5,0.1,0.01,2,30,high,wa,-0.011059092800665912,1,0,1
15m,500,0.5,0.25,0.1,0.01,2,40,high,poc,0.006143098177009999,0,1,1
15m,500,0.5,0.25,0.1,0.01,2,40,high,wa,-0.005529546400332945,1,0,1
15m,500,0.5,0.25,0.1,0.01,2,30,high,poc,0.006143098177009926,0,1,1
15m,500,0.5,0.25,0.1,0.01,2,30,high,wa,-0.005529546400332956,1,0,1
15m,500,2.0,1.0,0.1,0.005,2,40,low,poc,-0.020486322188449816,1,0,1
15m,500,2.0,1.0,0.1,0.005,2,40,low,wa,0.0,2,0,0
15m,500,2.0,1.0,0.1,0.005,2,30,low,poc,-0.02048632218844987,1,0,1
15m,500,2.0,1.0,0.1,0.005,2,30,low,wa,0.0,2,0,0
15m,500,2.0,0.5,0.1,0.005,2,40,low,poc,-0.010243161094224996,1,0,1
15m,500,2.0,0.5,0.1,0.005,2,40,low,wa,0.0,2,0,0
15m,500,2.0,0.5,0.1,0.005,2,30,low,poc,-0.010243161094225023,1,0,1
15m,500,2.0,0.5,0.1,0.005,2,30,low,wa,0.0,2,0,0
